tile,cycle,errorrate
1101,251,
1101,-219,7.7757
1101,-220,5.6309
1101,-221,7.4195
1101,-222,7.6742
1101,-223,8.2466
1101,-224,6.8875
1101,-225,8.6978
1101,-226,7.0403
1101,-227,7.374
1101,-228,8.189
1101,-229,9.0165
1101,-230,8.1819
1101,-231,9.6258
1101,-232,9.256
1101,-233,9.5063
1101,-234,30.544
1101,-235,30.9294
1101,-236,9.9401
1101,-237,31.8389
1101,-238,10.5332
1101,-239,32.2328
1101,-240,31.1617
1101,-241,10.6932
1101,-242,31.8205
1101,-243,29.0724
1101,-244,31.9135
1101,-245,30.1337
1101,-246,29.4389
1101,-247,33.8816
1101,-248,27.3981
1101,-249,0.0
1101,-250,20.3554
1101,-251,
1102,251,
1102,-219,7.7624
1102,-220,5.799
1102,-221,7.3577
1102,-222,7.014
1102,-223,7.2301
1102,-224,6.5503
1102,-225,8.1338
1102,-226,6.511
1102,-227,6.8668
1102,-228,7.8909
1102,-229,8.8287
1102,-230,7.8033
1102,-231,9.1965
1102,-232,8.9541
1102,-233,8.1101
1102,-234,11.5073
1102,-235,31.4087
1102,-236,8.8437
1102,-237,11.6201
1102,-238,8.0707
1102,-239,11.0628
1102,-240,31.5665
1102,-241,9.7111
1102,-242,12.0009
1102,-243,31.6385
1102,-244,9.7602
1102,-245,11.3729
1102,-246,32.4216
1102,-247,11.3906
1102,-248,11.5771
1102,-249,13.8339
1102,-250,10.6506
1102,-251,
1103,251,
1103,-219,7.6111
1103,-220,5.8097
1103,-221,6.7363
1103,-222,7.2074
1103,-223,7.6235
1103,-224,6.2209
1103,-225,8.2491
1103,-226,6.8741
1103,-227,7.3695
1103,-228,8.4927
1103,-229,10.4802
1103,-230,9.4147
1103,-231,11.6493
1103,-232,11.2502
1103,-233,9.685
1103,-234,14.6864
1103,-235,10.9188
1103,-236,8.9414
1103,-237,11.6061
1103,-238,8.2625
1103,-239,11.5339
1103,-240,13.2249
1103,-241,8.7169
1103,-242,14.6312
1103,-243,15.3848
1103,-244,9.9493
1103,-245,11.9711
1103,-246,32.2329
1103,-247,14.1013
1103,-248,10.9442
1103,-249,13.5192
1103,-250,11.7454
1103,-251,
1104,251,
1104,-225,7.9013
1104,-226,6.4426
1104,-227,7.4058
1104,-228,10.1503
1104,-229,31.2479
1104,-230,12.0679
1104,-231,31.8518
1104,-232,29.0301
1104,-233,10.8623
1104,-234,31.7415
1104,-235,29.4054
1104,-236,32.0002
1104,-237,28.9724
1104,-238,11.7354
1104,-239,32.5433
1104,-240,29.2529
1104,-241,30.3264
1104,-242,29.9789
1104,-243,30.0919
1104,-244,31.5636
1104,-245,30.7317
1104,-246,30.7886
1104,-247,33.3845
1104,-248,32.5587
1104,-249,31.6582
1104,-250,31.1893
1104,-251,
1105,251,
1105,-222,7.622
1105,-223,7.4685
1105,-224,6.5154
1105,-225,8.3994
1105,-226,6.7552
1105,-227,7.3766
1105,-228,9.5893
1105,-229,31.4147
1105,-230,9.4481
1105,-231,29.5694
1105,-232,29.6864
1105,-233,18.6609
1105,-234,32.6132
1105,-235,32.6263
1105,-236,31.5163
1105,-237,32.0243
1105,-238,18.7849
1105,-239,32.5631
1105,-240,33.4724
1105,-241,32.7292
1105,-242,33.9288
1105,-243,33.6759
1105,-244,32.6111
1105,-245,34.4199
1105,-246,33.8823
1105,-247,33.4102
1105,-248,33.4978
1105,-249,33.7591
1105,-250,33.6033
1105,-251,
1106,251,
1106,-219,7.6556
1106,-220,5.3744
1106,-221,7.1971
1106,-222,7.9249
1106,-223,7.3832
1106,-224,6.5128
1106,-225,8.2836
1106,-226,6.8575
1106,-227,6.7564
1106,-228,7.7419
1106,-229,8.2736
1106,-230,7.4724
1106,-231,8.9232
1106,-232,8.8159
1106,-233,7.9705
1106,-234,12.8112
1106,-235,11.7098
1106,-236,9.6503
1106,-237,11.2894
1106,-238,8.0333
1106,-239,11.9672
1106,-240,13.4392
1106,-241,9.6027
1106,-242,15.3214
1106,-243,13.4759
1106,-244,10.2912
1106,-245,11.2973
1106,-246,32.108
1106,-247,10.2063
1106,-248,10.8865
1106,-249,12.8493
1106,-250,10.9336
1106,-251,
1107,251,
1107,-219,7.8445
1107,-220,5.6224
1107,-221,7.1991
1107,-222,7.4196
1107,-223,7.4711
1107,-224,6.6015
1107,-225,8.4729
1107,-226,7.0533
1107,-227,7.2342
