contig_num,ref_name,score,match,pident,start,end,ref_start,ref_end
1,HIV1-F2-CM-JX140673-seed,30,0.01,100,2560,2589,6698,6727
1,HIV1-C-ZM-KF716467-seed,33,0.01,86,1372,1444,5532,5604
1,HIV1-C-SE-KP411835-seed,33,0.01,95,1404,1444,5456,5496
1,HIV1-B-CU-KR914676-seed,35,0.01,97,1553,1591,5578,5616
1,HIV1-N-CM-DQ017382-seed,35,0.02,84,3628,3726,7802,7900
1,HIV1-C-MW-KC156214-seed,36,0.01,92,1393,1444,6174,6225
1,HIV1-C-CN-KC870038-seed,36,0.02,87,1376,1451,5521,5596
1,HIV1-O-FR-AF407418-seed,37,-0.02,86,282,366,8898,8814
1,HIV1-D-CM-JX140670-seed,39,0.02,87,2528,2610,6665,6747
1,HIV1-C-BW-AF443115-seed,41,0.01,89,1372,1444,5536,5608
1,HIV1-F2-CM-JX140672-seed,42,0.01,92,2686,2747,6739,6800
1,HIV1-C-US-KF526226-seed,45,0.03,83,1312,1444,5474,5606
1,HIV1-D-TZ-AY253311-seed,46,0.01,91,2526,2595,6513,6582
1,HIV1-G-GH-AB287004-seed,46,0.03,83,2670,2807,7503,7640
1,HIV1-C-TZ-KC156220-seed,46,0.01,91,2678,2747,7419,7488
1,HIV1-C-KE-KT022371-seed,46,0.02,90,2671,2748,6583,6660
1,HIV1-O-SN-AJ302646-seed,47,0.01,94,4708,4770,432,494
1,HIV1-O-SN-AJ302646-seed,47,0.01,94,4708,4770,9665,9727
1,HIV1-C-ZA-KP109517-seed,49,0.01,92,1372,1444,5495,5567
1,HIV1-C-BW-AF443115-seed,49,0.02,91,2671,2747,6799,6875
1,HIV1-B-BR-KJ849801-seed,51,0.02,90,2528,2610,6925,7007
1,HIV1-O-GA-JX245015-seed,51,0.01,95,4708,4770,8841,8903
1,HIV1-O-BE-L20587-seed,51,0.01,95,4708,4770,432,494
1,HIV1-O-BE-L20587-seed,51,0.01,95,4708,4770,9603,9665
1,HIV1-O-US-JN571034-seed,52,0.03,84,4708,4852,355,499
1,HIV1-C-BR-JX140663-seed,53,0.01,93,1372,1444,5515,5587
1,HIV1-D-ZA-EF633445-seed,54,0.02,90,2526,2615,6676,6765
1,HIV1-D-KE-KF716476-seed,54,0.02,93,2671,2744,6794,6867
1,HIV1-H-GB-FJ711703-seed,54,0.01,100,4799,4852,1,54
1,HIV1-O-CM-AY169807-seed,54,0.01,97,4708,4769,9119,9180
1,HIV1-F1-BR-KJ849791-seed,55,0.05,81,982,1206,5180,5401
